rank,pool,votes,expected_usd
1,0x18156ace9940645ebf3602e2b320a77131a70ad1,1253000,247.246411
2,0x5984bc5ca90388aac221147ca9da419a2a458a9f,147000,35.254684
3,0x680581725840958141bb328666d8fc185ac4fa49,57000,10.267916
4,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,48000,10.166565
5,0xcd280042f629fa2384179911f9cb1f932b9f26c8,46000,9.695935
6,0xf19787f048b3401546aa7a979afa79d555c114dd,34000,6.708576
7,0xab5d32ff95b58bd5e77de08738a391973ee88c81,30000,5.417594
8,0xd4610403f0a93611ca76a5847743533268eff793,17000,3.226082
9,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,17000,3.107329
10,0xef96ec76eeb36584fc4922e9fa268e0780170f33,17000,3.083574
11,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,8000,1.541528
12,0xc3f617c8a3da6d286c8f97af946a8f293632c852,8000,1.496855
13,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,8000,1.494727
14,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,7908,1.562028
15,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,7000,1.453892
16,0x8323ba10155388825fba72f4c81dd6642d7321ef,7000,1.278456
17,0x07e72e46c319a6d5aca28ad52f5c41a7821989ad,5000,1.386012
18,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,4000,0.767301
19,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,4000,0.737673
20,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,3000,0.753711
21,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,3000,0.684904
22,0x52fde427c2483ba0749140c0b43cfce73ba50d20,3000,0.646725
23,0x19ff35059452faa793dddf9894a1571c5d41003e,3000,0.635834
24,0xa13e3f675794fcb15413ef0fb120db22d4b9ec27,3000,0.592942
25,0xa528c2462fa74eb1a2335424d69d721e4aed1367,3000,0.590357
26,0x46f4149cea5556bd013d4f031d3e3b65573fc002,2000,0.944620
27,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,2000,0.545232
28,0x07bdda4ab33c2163510284fe15b46187ad840ff9,2000,0.523182
29,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,2000,0.517046
30,0x66352585bad83da857a020f739f1f7ca93209a1b,2000,0.452838
31,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,2000,0.403299
32,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,2000,0.396840
33,0x0c9be6df4e114d5cb04cbb934172be1fcc5526c6,1000,2.621860
34,0x02ab4a243c229550f6babcfdb106f19b35124df6,1000,0.284927
35,0x22a369630b5c405e0246627e9dc25864d0bb2e5d,1000,0.235338
36,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.174710
37,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,1000,0.174422
38,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,1000,0.169093
39,0x29262772a1a99f180ac2e70093954cf4adf3cd85,1000,0.168495
40,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,1000,0.167973
41,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,1000,0.159383
42,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.134375
43,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.127837
44,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.126344
45,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,1000,0.121809
46,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.099151
47,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.088653
48,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1000,0.086208
49,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.085478
50,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.048507
