rank,pool,votes,expected_usd
1,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,734908,395.751640
2,0x18156ace9940645ebf3602e2b320a77131a70ad1,605000,122.684771
3,0xab5d32ff95b58bd5e77de08738a391973ee88c81,62000,12.034663
4,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,55000,11.374628
5,0x721bcd563603a559616dc9fb886a1732186995a4,50000,9.781123
6,0xcd280042f629fa2384179911f9cb1f932b9f26c8,49000,9.754952
7,0x29262772a1a99f180ac2e70093954cf4adf3cd85,39000,7.759848
8,0xf19787f048b3401546aa7a979afa79d555c114dd,25000,5.018277
9,0x8323ba10155388825fba72f4c81dd6642d7321ef,20000,4.101541
10,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,16000,3.179962
11,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,15000,3.028440
12,0xd4610403f0a93611ca76a5847743533268eff793,12000,2.318853
13,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,11000,2.207644
14,0x5984bc5ca90388aac221147ca9da419a2a458a9f,10000,2.039713
15,0x07e72e46c319a6d5aca28ad52f5c41a7821989ad,8000,1.734718
16,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,7000,1.615109
17,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,7000,1.368753
18,0x52fde427c2483ba0749140c0b43cfce73ba50d20,7000,1.356449
19,0x0c9be6df4e114d5cb04cbb934172be1fcc5526c6,6000,2.791367
20,0x4964af09ae3cab10cbc16f78a20a3690a39507d9,6000,2.398151
21,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,5000,1.014084
22,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,4000,0.856376
23,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,4000,0.757519
24,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,3000,0.612026
25,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,3000,0.592235
26,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,3000,0.567063
27,0xc3f617c8a3da6d286c8f97af946a8f293632c852,1000,0.182068
28,0xef96ec76eeb36584fc4922e9fa268e0780170f33,1000,0.182066
29,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.180554
30,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,1000,0.166047
31,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.150855
32,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,1000,0.127819
33,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.118720
34,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.094437
