rank,pool,votes,expected_usd
1,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,1478000,448.230584
2,0x18156ace9940645ebf3602e2b320a77131a70ad1,56000,7.732872
3,0x29262772a1a99f180ac2e70093954cf4adf3cd85,41000,6.223117
4,0xab5d32ff95b58bd5e77de08738a391973ee88c81,35000,4.828434
5,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,33000,5.241032
6,0x8323ba10155388825fba72f4c81dd6642d7321ef,23000,3.896782
7,0xf19787f048b3401546aa7a979afa79d555c114dd,20000,3.060068
8,0xc3f617c8a3da6d286c8f97af946a8f293632c852,18000,3.052443
9,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,9908,1.441394
10,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,9000,1.385854
11,0x5984bc5ca90388aac221147ca9da419a2a458a9f,4000,0.728731
12,0xd4610403f0a93611ca76a5847743533268eff793,4000,0.591322
13,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,2000,0.397971
14,0x19ff35059452faa793dddf9894a1571c5d41003e,2000,0.379826
15,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,2000,0.371869
16,0x52fde427c2483ba0749140c0b43cfce73ba50d20,2000,0.365078
17,0xa528c2462fa74eb1a2335424d69d721e4aed1367,2000,0.354853
18,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,2000,0.334802
19,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,2000,0.273183
20,0x4f0a58b2f561cd23e3059e76526125c85e281821,1000,0.709207
21,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,1000,0.442507
22,0xafa8740bd6a2ac2a99ac02659bb927be27e72d42,1000,0.420700
23,0x66352585bad83da857a020f739f1f7ca93209a1b,1000,0.216585
24,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,1000,0.189154
25,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,1000,0.141055
26,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,1000,0.140866
27,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,1000,0.140741
28,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,1000,0.137694
29,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,1000,0.136038
30,0x5c95bb22f83400efbebdf9215a5b2670335cff1a,1000,0.133014
31,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,1000,0.131379
32,0xcd280042f629fa2384179911f9cb1f932b9f26c8,1000,0.130983
33,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,1000,0.130192
34,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,1000,0.128405
35,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.127413
36,0x10e90f2e9d1aba759d151247416644331584e04d,1000,0.112132
37,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,1000,0.097971
38,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.097647
39,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.085538
40,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.078681
41,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,1000,0.076250
42,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.075463
43,0x50cbeffdd5671c8cdce323e0553f1990678100fc,1000,0.071482
44,0x8c8063a449eb9f020449fec4d9f0bca845188929,1000,0.068944
45,0xef96ec76eeb36584fc4922e9fa268e0780170f33,1000,0.067996
46,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.062881
47,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.062648
48,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.040136
49,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.029462
