rank,pool,votes,expected_usd
1,0xab5d32ff95b58bd5e77de08738a391973ee88c81,780000,103.965578
2,0xef96ec76eeb36584fc4922e9fa268e0780170f33,129000,15.778773
3,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,95000,10.893004
4,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,90000,9.767210
5,0x29262772a1a99f180ac2e70093954cf4adf3cd85,88000,10.389325
6,0x18156ace9940645ebf3602e2b320a77131a70ad1,74000,7.371265
7,0xcd280042f629fa2384179911f9cb1f932b9f26c8,67000,7.988079
8,0xf19787f048b3401546aa7a979afa79d555c114dd,66000,9.226239
9,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,59000,6.164901
10,0xbeef086b8807dc5e5a1740c5e3a7c4c366ea6ab5,55000,6.282901
11,0x8323ba10155388825fba72f4c81dd6642d7321ef,38000,5.285913
12,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,36000,3.561543
13,0xee58348059c9ad6ac345be79c399da0c200627ed,34000,3.892403
14,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,31000,4.321763
15,0xc3f617c8a3da6d286c8f97af946a8f293632c852,24000,3.265053
16,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,19000,2.464329
17,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,18000,2.594869
18,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,17000,2.647422
19,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,11000,1.282432
20,0x034196aee7968d4c85b00b40c4e88ef706577cfa,7000,0.990024
21,0x8772c46a7d10d7189d21eb635a9d271c83f66263,7000,0.942473
22,0xd4610403f0a93611ca76a5847743533268eff793,7000,0.809831
23,0x50cbeffdd5671c8cdce323e0553f1990678100fc,5000,0.804873
24,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,5000,0.633034
25,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,5000,0.581103
26,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,4000,0.709462
27,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,4000,0.690985
28,0xfe4d6560d04fed2c9b6b163cb88979d7cce3874a,4000,0.459121
29,0xd6989c6fec14a38a8e2cd3e4cf6ce3a5ebcf35b6,3000,0.719113
30,0x10e90f2e9d1aba759d151247416644331584e04d,3000,0.536114
31,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,3000,0.474659
32,0x8c8063a449eb9f020449fec4d9f0bca845188929,2000,0.528935
33,0x66352585bad83da857a020f739f1f7ca93209a1b,2000,0.525719
34,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,2000,0.504323
35,0xa528c2462fa74eb1a2335424d69d721e4aed1367,2000,0.484994
36,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,2000,0.442938
37,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,2000,0.370641
38,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,1240,0.294497
39,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.087587
40,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.087346
41,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,1000,0.086782
42,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1000,0.082195
43,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.078920
44,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.078123
45,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,1000,0.077775
46,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,1000,0.073480
47,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.072724
48,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.067243
49,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,1000,0.063525
50,0x4f0a58b2f561cd23e3059e76526125c85e281821,1000,0.042485
