rank,pool,votes,expected_usd
1,0x18156ace9940645ebf3602e2b320a77131a70ad1,1032908,210.418010
2,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,417000,91.524581
3,0x5984bc5ca90388aac221147ca9da419a2a458a9f,34000,6.650570
4,0xf19787f048b3401546aa7a979afa79d555c114dd,31000,5.661238
5,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,29000,5.183550
6,0x29262772a1a99f180ac2e70093954cf4adf3cd85,27000,4.695560
7,0xcd280042f629fa2384179911f9cb1f932b9f26c8,23000,4.134463
8,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,20000,3.722042
9,0xc3f617c8a3da6d286c8f97af946a8f293632c852,20000,3.405255
10,0x8323ba10155388825fba72f4c81dd6642d7321ef,18000,3.212585
11,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,17000,3.274850
12,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,17000,3.237867
13,0x7d4d7988152742e00d0b7245490bc4a06480e668,12000,2.249203
14,0x721bcd563603a559616dc9fb886a1732186995a4,9000,1.544528
15,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,8000,3.224328
16,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,8000,1.634206
17,0xd4610403f0a93611ca76a5847743533268eff793,8000,1.342795
18,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,4000,0.750000
19,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,4000,0.680934
20,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,3000,0.584228
21,0x66352585bad83da857a020f739f1f7ca93209a1b,2000,0.372792
22,0xdc2b01bc65cc123ea030ebc0c03626476581ebd2,2000,0.368692
23,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,2000,0.347306
24,0x0c9be6df4e114d5cb04cbb934172be1fcc5526c6,1000,1.042776
25,0x07e72e46c319a6d5aca28ad52f5c41a7821989ad,1000,0.960625
26,0xa528c2462fa74eb1a2335424d69d721e4aed1367,1000,0.191333
27,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,1000,0.185556
28,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,1000,0.178431
29,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,1000,0.165551
30,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,1000,0.164902
31,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,1000,0.163856
32,0x19ff35059452faa793dddf9894a1571c5d41003e,1000,0.162482
33,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,1000,0.155195
34,0xab5d32ff95b58bd5e77de08738a391973ee88c81,1000,0.151863
35,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,1000,0.146549
36,0x3c3ad27a7f71959fc305af9170d0dbf2846aea06,1000,0.145305
37,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.121483
38,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,1000,0.116795
39,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.115792
40,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,1000,0.105530
41,0x10e90f2e9d1aba759d151247416644331584e04d,1000,0.104695
42,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.090400
43,0xef96ec76eeb36584fc4922e9fa268e0780170f33,1000,0.085883
44,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.082197
45,0x8c8063a449eb9f020449fec4d9f0bca845188929,1000,0.076149
46,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.075580
47,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.067033
48,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1000,0.051704
49,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.049963
50,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.037599
