rank,pool,votes,expected_usd
1,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,697000,242.471253
2,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,345000,121.240085
3,0xee58348059c9ad6ac345be79c399da0c200627ed,212000,99.562337
4,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,106000,40.382957
5,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,70000,26.078541
6,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,50000,20.287924
7,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,48677,18.368992
8,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,45000,16.778404
9,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,38000,15.882975
10,0xe62a34ae5e0b9fde3501aeb72dc9585bb3b72a7e,33000,12.520200
11,0x721bcd563603a559616dc9fb886a1732186995a4,31000,13.835603
12,0xcd280042f629fa2384179911f9cb1f932b9f26c8,16000,6.110979
13,0xc3f617c8a3da6d286c8f97af946a8f293632c852,15000,6.912539
14,0x8772c46a7d10d7189d21eb635a9d271c83f66263,13000,5.267521
15,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,11000,3.818314
16,0x8c8063a449eb9f020449fec4d9f0bca845188929,10000,4.532545
17,0xbeef086b8807dc5e5a1740c5e3a7c4c366ea6ab5,9000,3.530657
18,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,8000,3.691464
19,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,7000,2.471042
20,0x19ff35059452faa793dddf9894a1571c5d41003e,5000,2.283343
21,0x29262772a1a99f180ac2e70093954cf4adf3cd85,4000,1.885932
22,0xef96ec76eeb36584fc4922e9fa268e0780170f33,4000,1.583333
23,0x66352585bad83da857a020f739f1f7ca93209a1b,3000,1.660631
24,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,2000,1.383063
25,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,2000,1.220095
26,0x034196aee7968d4c85b00b40c4e88ef706577cfa,2000,1.101924
27,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,2000,1.032725
28,0x96d5583fe2159a8de88ee04bc16d8da7e5b0854d,2000,1.010767
29,0x6c072f7c8e54ff147817d0dd6fd08734ede6de1f,2000,0.972981
30,0xd4610403f0a93611ca76a5847743533268eff793,2000,0.928162
31,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,2000,0.918417
32,0x6177a7fa0fb7d2620fe1743421768facabd6f905,1000,0.660332
33,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,1000,0.530715
34,0x50cbeffdd5671c8cdce323e0553f1990678100fc,1000,0.357020
35,0x8323ba10155388825fba72f4c81dd6642d7321ef,1000,0.354690
36,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,1000,0.345965
37,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.335961
38,0xab5d32ff95b58bd5e77de08738a391973ee88c81,1000,0.332108
39,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.321025
40,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,1000,0.319851
41,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,1000,0.305853
42,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,1000,0.304746
43,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,1000,0.297859
44,0xf19787f048b3401546aa7a979afa79d555c114dd,1000,0.292600
45,0x18156ace9940645ebf3602e2b320a77131a70ad1,1000,0.290506
46,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,1000,0.268615
47,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.259547
48,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,1000,0.123244
