rank,pool,votes,expected_usd
1,0xf19787f048b3401546aa7a979afa79d555c114dd,268000,235.090378
2,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,229000,203.889895
3,0x18156ace9940645ebf3602e2b320a77131a70ad1,219000,168.707879
4,0x3226a68da690d70ae812a25ca7c4c02d07941b81,84000,74.757396
5,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,52000,48.239572
6,0x15951b35d7a8ea6b6ef5718eab2fcdd3ad072451,49000,59.281626
7,0xd3d41f050554401bb70340690a25f9ced7531493,30000,36.814162
8,0x5984bc5ca90388aac221147ca9da419a2a458a9f,24000,21.461548
9,0x46f4149cea5556bd013d4f031d3e3b65573fc002,23000,18.691037
10,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,22000,19.160488
11,0xc3f617c8a3da6d286c8f97af946a8f293632c852,19000,21.012984
12,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,19000,16.341473
13,0x55a6b5812b590e777b1323791007bcf70cc96022,16000,19.304654
14,0x9e7e8997db3d2e3ae84e237fd49a4d0c878604fa,16000,14.870407
15,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,16000,14.310524
16,0xebfcec0795962b8f3ee7954d5de7606884830e54,11000,8.697438
17,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,10000,8.720981
18,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,9000,8.259123
19,0xa528c2462fa74eb1a2335424d69d721e4aed1367,9000,7.405713
20,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,8000,6.311544
21,0xb55fab1b4f8a2f52cca0c21ca3c4c20060454086,7000,5.845763
22,0x84994103403c715bace3bfb42f074f50e5432d55,7000,5.156922
23,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,5000,4.389368
24,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,4000,3.299374
25,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,3000,6.003064
26,0xe2db999b64616669553c3bd37291f91ea471fc3d,2272,1.881277
27,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,1000,0.709966
28,0xf3dfab70cbb7f1ca33685463f7f4e79bc6842933,1000,0.700239
29,0xbce15e3e9799c9296c631b8fca65386d9554f49a,1000,0.680348
30,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.679513
31,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,1000,0.663600
32,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,1000,0.656223
33,0xe539b14a87d3db4a2945ac99b29a69de61531592,1000,0.655349
34,0x8c8063a449eb9f020449fec4d9f0bca845188929,1000,0.643204
35,0xd4610403f0a93611ca76a5847743533268eff793,1000,0.634098
36,0x29262772a1a99f180ac2e70093954cf4adf3cd85,1000,0.618717
37,0x763adcf71cb195184088a26be01662119e303f5f,1000,0.615090
38,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,1000,0.581309
39,0x02ab4a243c229550f6babcfdb106f19b35124df6,1000,0.576039
40,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,1000,0.540436
41,0xca260c4633a3834caa9d70e5ea2d78d9290890c6,1000,0.538889
42,0x434355f7eafcf3a5b8a6ef755505b845682f906b,1000,0.533646
43,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,1000,0.531159
44,0xef96ec76eeb36584fc4922e9fa268e0780170f33,1000,0.500949
45,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.433411
46,0x66352585bad83da857a020f739f1f7ca93209a1b,1000,0.424041
47,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.418066
48,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.385820
