rank,pool,votes,expected_usd
1,0x18156ace9940645ebf3602e2b320a77131a70ad1,1046000,285.964318
2,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,295000,139.484177
3,0x4964af09ae3cab10cbc16f78a20a3690a39507d9,194908,97.347542
4,0xd4610403f0a93611ca76a5847743533268eff793,27000,6.694640
5,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,25000,6.036979
6,0x5984bc5ca90388aac221147ca9da419a2a458a9f,25000,5.866345
7,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,18000,4.519741
8,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,16000,4.092981
9,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,14000,3.641806
10,0xf19787f048b3401546aa7a979afa79d555c114dd,12000,3.244388
11,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,11000,2.581752
12,0x52fde427c2483ba0749140c0b43cfce73ba50d20,11000,2.577901
13,0xcd280042f629fa2384179911f9cb1f932b9f26c8,11000,2.531632
14,0xc3f617c8a3da6d286c8f97af946a8f293632c852,10000,2.517046
15,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,7000,1.795693
16,0x66352585bad83da857a020f739f1f7ca93209a1b,4000,1.585210
17,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,3000,3.354883
18,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,3000,1.209488
19,0xef96ec76eeb36584fc4922e9fa268e0780170f33,3000,0.664197
20,0x29262772a1a99f180ac2e70093954cf4adf3cd85,3000,0.657820
21,0xd6989c6fec14a38a8e2cd3e4cf6ce3a5ebcf35b6,2000,1.672751
22,0xb55fab1b4f8a2f52cca0c21ca3c4c20060454086,2000,0.497746
23,0xacdb45dcf58a8da1706468b5828dec484f37c5e3,2000,0.491765
24,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,2000,0.464358
25,0x07e72e46c319a6d5aca28ad52f5c41a7821989ad,2000,0.462636
26,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,2000,0.461222
27,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,2000,0.458528
28,0x0c9be6df4e114d5cb04cbb934172be1fcc5526c6,1000,2.655999
29,0xa528c2462fa74eb1a2335424d69d721e4aed1367,1000,2.024705
30,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,1000,0.247752
31,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,1000,0.225559
32,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,1000,0.223664
33,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,1000,0.214266
34,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,1000,0.212380
35,0xab5d32ff95b58bd5e77de08738a391973ee88c81,1000,0.208725
36,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,1000,0.202725
37,0x8323ba10155388825fba72f4c81dd6642d7321ef,1000,0.188894
38,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.186324
39,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,1000,0.164556
40,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.134098
41,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.131918
42,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,1000,0.126639
43,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.103649
44,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,1000,0.100591
45,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.097280
46,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.087721
47,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.084913
48,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1000,0.071740
49,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.071530
