rank,pool,votes,expected_usd
1,0xab5d32ff95b58bd5e77de08738a391973ee88c81,1052000,103.784034
2,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,145000,11.662843
3,0x680581725840958141bb328666d8fc185ac4fa49,85000,6.344074
4,0x29262772a1a99f180ac2e70093954cf4adf3cd85,74000,6.063800
5,0xbeef086b8807dc5e5a1740c5e3a7c4c366ea6ab5,66000,5.833723
6,0xf19787f048b3401546aa7a979afa79d555c114dd,55000,4.887264
7,0xee58348059c9ad6ac345be79c399da0c200627ed,53000,4.967032
8,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,38000,3.150030
9,0xc3f617c8a3da6d286c8f97af946a8f293632c852,27000,2.281664
10,0x721bcd563603a559616dc9fb886a1732186995a4,26000,1.983494
11,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,23000,2.022309
12,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,20000,1.943039
13,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,18000,1.538542
14,0xcd280042f629fa2384179911f9cb1f932b9f26c8,16000,1.527364
15,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,13000,1.238540
16,0x18156ace9940645ebf3602e2b320a77131a70ad1,12000,1.212354
17,0xd4610403f0a93611ca76a5847743533268eff793,11000,0.987801
18,0x8c8063a449eb9f020449fec4d9f0bca845188929,9000,0.896023
19,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,7000,0.529753
20,0xa8afd87084666453b102811aeefd5600d89b5532,6000,0.638202
21,0xef96ec76eeb36584fc4922e9fa268e0780170f33,6000,0.568217
22,0x66352585bad83da857a020f739f1f7ca93209a1b,5000,0.440812
23,0x50cbeffdd5671c8cdce323e0553f1990678100fc,4000,0.347029
24,0x034196aee7968d4c85b00b40c4e88ef706577cfa,4000,0.344275
25,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,3000,0.279673
26,0x19ff35059452faa793dddf9894a1571c5d41003e,3000,0.260069
27,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,3000,0.246500
28,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,2428,0.341163
29,0x96d5583fe2159a8de88ee04bc16d8da7e5b0854d,2000,0.262868
30,0x4f0a58b2f561cd23e3059e76526125c85e281821,2000,0.251431
31,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,2000,0.245021
32,0x5984bc5ca90388aac221147ca9da419a2a458a9f,2000,0.237998
33,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,2000,0.228058
34,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,1000,0.369927
35,0x02ab4a243c229550f6babcfdb106f19b35124df6,1000,0.264253
36,0x5c95bb22f83400efbebdf9215a5b2670335cff1a,1000,0.153877
37,0xa528c2462fa74eb1a2335424d69d721e4aed1367,1000,0.141524
38,0x8772c46a7d10d7189d21eb635a9d271c83f66263,1000,0.074969
39,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,1000,0.069913
40,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.069205
41,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,1000,0.069104
42,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.062154
43,0x8323ba10155388825fba72f4c81dd6642d7321ef,1000,0.058989
44,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,1000,0.055332
45,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.046811
46,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.045402
47,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.044434
48,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1000,0.037766
49,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.019535
50,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,1000,0.018185
