rank,pool,votes,expected_usd
1,0x5984bc5ca90388aac221147ca9da419a2a458a9f,396000,213.782695
2,0x763adcf71cb195184088a26be01662119e303f5f,205000,54.505696
3,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,179000,43.332286
4,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,105000,30.104338
5,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,103000,30.401411
6,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,93000,24.926882
7,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,76000,23.339880
8,0xca260c4633a3834caa9d70e5ea2d78d9290890c6,71000,34.045177
9,0xf19787f048b3401546aa7a979afa79d555c114dd,59000,17.907327
10,0x29262772a1a99f180ac2e70093954cf4adf3cd85,57000,17.271663
11,0x52fde427c2483ba0749140c0b43cfce73ba50d20,57000,15.232363
12,0x8323ba10155388825fba72f4c81dd6642d7321ef,55000,21.715777
13,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,50000,13.689050
14,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,47000,14.219804
15,0x46f4149cea5556bd013d4f031d3e3b65573fc002,28000,8.657485
16,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,28000,7.190979
17,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,26000,9.129748
18,0xc3f617c8a3da6d286c8f97af946a8f293632c852,19000,5.104247
19,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,18000,5.521910
20,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,16000,5.965791
21,0xd4610403f0a93611ca76a5847743533268eff793,16000,4.746459
22,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,15000,4.355025
23,0xbce15e3e9799c9296c631b8fca65386d9554f49a,10908,3.401406
24,0xb55fab1b4f8a2f52cca0c21ca3c4c20060454086,8000,2.997674
25,0xa528c2462fa74eb1a2335424d69d721e4aed1367,7000,2.138649
26,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,5000,7.080030
27,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,3000,3.128485
28,0xcd280042f629fa2384179911f9cb1f932b9f26c8,2000,0.480939
29,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,1000,6.537166
30,0xacdb45dcf58a8da1706468b5828dec484f37c5e3,1000,6.522101
31,0x19ff35059452faa793dddf9894a1571c5d41003e,1000,5.440683
32,0x15951b35d7a8ea6b6ef5718eab2fcdd3ad072451,1000,5.429415
33,0xa8afd87084666453b102811aeefd5600d89b5532,1000,5.299432
34,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,1000,5.172097
35,0x9e7e8997db3d2e3ae84e237fd49a4d0c878604fa,1000,4.706794
36,0x50cbeffdd5671c8cdce323e0553f1990678100fc,1000,4.144810
37,0x8772c46a7d10d7189d21eb635a9d271c83f66263,1000,0.239540
38,0x84994103403c715bace3bfb42f074f50e5432d55,1000,0.238741
39,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.196947
40,0x034196aee7968d4c85b00b40c4e88ef706577cfa,1000,0.193702
41,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,1000,0.192329
42,0x02ab4a243c229550f6babcfdb106f19b35124df6,1000,0.190412
43,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.166540
44,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.166371
45,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.165600
46,0x1c419ac8fbaf8082eb7276fc2f243a74daf1c927,1000,0.158025
47,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.137676
48,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.133988
