rank,pool,votes,expected_usd
1,0x18156ace9940645ebf3602e2b320a77131a70ad1,689000,288.346504
2,0x4964af09ae3cab10cbc16f78a20a3690a39507d9,336000,390.295977
3,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,104000,32.766342
4,0xf19787f048b3401546aa7a979afa79d555c114dd,86000,25.137306
5,0xef96ec76eeb36584fc4922e9fa268e0780170f33,73000,25.274447
6,0xab5d32ff95b58bd5e77de08738a391973ee88c81,54000,15.269941
7,0x721bcd563603a559616dc9fb886a1732186995a4,52000,15.332250
8,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,46000,15.969168
9,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,35000,12.677193
10,0x52fde427c2483ba0749140c0b43cfce73ba50d20,32000,9.265515
11,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,29000,8.917931
12,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,29000,8.236960
13,0xcd280042f629fa2384179911f9cb1f932b9f26c8,25000,13.004247
14,0x8323ba10155388825fba72f4c81dd6642d7321ef,25000,7.115288
15,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,20000,6.612821
16,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,13000,4.017497
17,0xa8afd87084666453b102811aeefd5600d89b5532,11000,5.693510
18,0xa13e3f675794fcb15413ef0fb120db22d4b9ec27,9000,3.448248
19,0xc3f617c8a3da6d286c8f97af946a8f293632c852,9000,2.683567
20,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,9000,2.607151
21,0xe62a34ae5e0b9fde3501aeb72dc9585bb3b72a7e,8000,2.753568
22,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,8000,2.371235
23,0x3c3ad27a7f71959fc305af9170d0dbf2846aea06,6000,5.722372
24,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,5000,2.253925
25,0x46f4149cea5556bd013d4f031d3e3b65573fc002,5000,1.868461
26,0x1c419ac8fbaf8082eb7276fc2f243a74daf1c927,5000,1.465990
27,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,5000,1.409494
28,0x19ff35059452faa793dddf9894a1571c5d41003e,4000,1.799158
29,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,4000,1.517167
30,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,4000,1.356055
31,0x7d4d7988152742e00d0b7245490bc4a06480e668,4000,1.251691
32,0xbce15e3e9799c9296c631b8fca65386d9554f49a,4000,1.182856
33,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,3908,1.151328
34,0xdc2b01bc65cc123ea030ebc0c03626476581ebd2,3000,0.985389
35,0x66352585bad83da857a020f739f1f7ca93209a1b,3000,0.934214
36,0xa528c2462fa74eb1a2335424d69d721e4aed1367,2000,0.610497
37,0x29262772a1a99f180ac2e70093954cf4adf3cd85,2000,0.559366
38,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,1000,0.296176
39,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,1000,0.286570
40,0x763adcf71cb195184088a26be01662119e303f5f,1000,0.272540
41,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.266352
42,0x84994103403c715bace3bfb42f074f50e5432d55,1000,0.264343
43,0xd4610403f0a93611ca76a5847743533268eff793,1000,0.259637
44,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,1000,0.250634
45,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,1000,0.238117
46,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.237220
47,0x5984bc5ca90388aac221147ca9da419a2a458a9f,1000,0.195488
48,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.195215
49,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,1000,0.164456
50,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.145314
