rank,pool,votes,expected_usd
1,0xbcdc5b29e2cb9b731bcbd3044a703d37512a6aeb,178000,86.357016
2,0xce4838e3287d66ce20fa296704f2b77de9d2a92d,176000,69.382633
3,0x135bb6b7f4480cc698b0483182e780253db19f87,153000,70.155546
4,0x37077d100b369ab48c9e6b7b21c15eee4fdf9923,118000,59.155506
5,0xe539b14a87d3db4a2945ac99b29a69de61531592,116000,47.645978
6,0x467a8846e7b54eac5d4d1cb2fdc9b8752212ff0e,93000,40.932413
7,0x9849e92f29a9d3b89fe09694746e7acf52bbc37d,91000,41.839783
8,0xe70c5d2c76fe261ba6b0cc1f80ec0628b85e891d,91000,40.661791
9,0x442b29b177cda78537dd58a7aee7071729e96885,76000,38.134058
10,0x71e0afebf9eafeb4990a1760e1e3f7cdc8163d6b,76000,37.114355
11,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,74000,34.357538
12,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,57000,25.084309
13,0xdb57aa8369ae753d2c8a57cd17845ce4d691bc11,51000,26.903646
14,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,43000,23.520131
15,0xee58348059c9ad6ac345be79c399da0c200627ed,43000,19.319202
16,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,40000,16.821235
17,0xa17db5cf2f25213356f088a92245b9704bc4310f,30000,15.226296
18,0x18c772b1e324256d4eae3d444aed7e856a6d86e2,24000,11.565498
19,0xf19787f048b3401546aa7a979afa79d555c114dd,24000,10.783040
20,0x603258c5072a01609c4c7269031232695d14f21b,23000,11.775618
21,0xece0d1e0615feb34e78129d1996b75f1ff082324,23000,11.427046
22,0xc0fd714a5cf89780846dcd75fd3a01906dac2e3e,20000,8.723656
23,0xd944fe0b26acfc28fd425390d96af83e14f95844,19000,9.530659
24,0xc0410fadad2da7ba04d029e94a0e3df228ec7d28,19000,8.567191
25,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,19000,8.477145
26,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,17000,7.117875
27,0xa9a12101beddf0950c65c32a915ae21db002623d,13000,6.841950
28,0x50669903fbd516da07aceb99276995b7eb00e6e0,13000,5.846027
29,0x5d8a9bf50e2270c0c051ef4a79a6aa376a611e72,12000,5.392408
30,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,11743,6.173704
31,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,11000,4.981562
32,0x8323ba10155388825fba72f4c81dd6642d7321ef,8000,4.136646
33,0x182be47742b81777055d69c50e5c9d2fe803e938,7000,2.746446
34,0x415233bf9b9156d4f777d580e67c0a4e398a84c3,6000,2.884509
35,0xd4610403f0a93611ca76a5847743533268eff793,6000,2.671435
36,0x2d8caf2d736b59b764208ad521669ae1dfcdd9d2,6000,2.547460
37,0x3e8126a4a5df68dd9cca675e8dc925b5fed70ca9,6000,2.522329
38,0xbeef086b8807dc5e5a1740c5e3a7c4c366ea6ab5,4000,1.700864
39,0x7942a4dbf0c599edb3466a85627ed276ef748256,3000,1.237191
40,0x02107bab40bba06ae979a15f67b5ad3853c5e116,3000,1.178168
41,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,1000,0.401321
42,0x7796fc53b75960a9762ba267c19f5da9868b7853,1000,0.389368
43,0x53ab4c60ff04b782f630a8685af95404f099aafd,1000,0.352630
44,0x6fae4c404be7bdd12492385498f8c6e5177e4532,1000,0.343575
45,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.339859
46,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.337158
47,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.332886
48,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.281944
49,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.278821
50,0xb1383dc47d9971fc999c3a9088f79e744b376e97,1000,0.257985
