rank,pool,votes,expected_usd
1,0xf19787f048b3401546aa7a979afa79d555c114dd,494000,193.063370
2,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,187000,59.957769
3,0x18156ace9940645ebf3602e2b320a77131a70ad1,134000,40.627145
4,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,116000,38.129065
5,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,110000,34.359380
6,0x721bcd563603a559616dc9fb886a1732186995a4,97000,33.716329
7,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,85908,24.866755
8,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,81000,27.673425
9,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,60000,17.413680
10,0x02ab4a243c229550f6babcfdb106f19b35124df6,58000,33.615096
11,0x29262772a1a99f180ac2e70093954cf4adf3cd85,42000,13.630212
12,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,42000,13.481126
13,0xcd280042f629fa2384179911f9cb1f932b9f26c8,33000,13.339579
14,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,31000,10.029916
15,0xc3f617c8a3da6d286c8f97af946a8f293632c852,27000,8.672943
16,0x84994103403c715bace3bfb42f074f50e5432d55,25000,8.026169
17,0x5984bc5ca90388aac221147ca9da419a2a458a9f,22000,7.280587
18,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,15000,4.823812
19,0xa528c2462fa74eb1a2335424d69d721e4aed1367,14000,4.491026
20,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,14000,4.334323
21,0x2d9b441c4333b0383a27ad751f9190ab18b0b349,12000,9.871241
22,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,11000,3.636395
23,0x8323ba10155388825fba72f4c81dd6642d7321ef,11000,3.576765
24,0x15951b35d7a8ea6b6ef5718eab2fcdd3ad072451,8000,3.673141
25,0xca260c4633a3834caa9d70e5ea2d78d9290890c6,8000,2.508220
26,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,6000,1.947000
27,0x19ff35059452faa793dddf9894a1571c5d41003e,5000,1.641130
28,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,5000,1.628975
29,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,5000,1.626205
30,0xbce15e3e9799c9296c631b8fca65386d9554f49a,5000,1.610993
31,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,3000,0.875033
32,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,1000,0.294654
33,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.278079
34,0xab5d32ff95b58bd5e77de08738a391973ee88c81,1000,0.269907
35,0x52fde427c2483ba0749140c0b43cfce73ba50d20,1000,0.268824
36,0x10e90f2e9d1aba759d151247416644331584e04d,1000,0.261347
37,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.247660
38,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.247584
39,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.171072
