rank,pool,votes,expected_usd
1,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,491000,289.747082
2,0xf19787f048b3401546aa7a979afa79d555c114dd,347000,210.792461
3,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,41000,23.601901
4,0x15951b35d7a8ea6b6ef5718eab2fcdd3ad072451,35000,23.517858
5,0x9e7e8997db3d2e3ae84e237fd49a4d0c878604fa,33000,23.359978
6,0x5984bc5ca90388aac221147ca9da419a2a458a9f,29000,16.867651
7,0xc3f617c8a3da6d286c8f97af946a8f293632c852,28000,15.958757
8,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,21000,11.658468
9,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,17000,9.491148
10,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,16000,11.538912
11,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,14000,8.145203
12,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,14000,7.883988
13,0x8d6c910b2c57a9dbdd5701af634e5b619e7c81e4,10000,6.245202
14,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,10000,5.649507
15,0xca260c4633a3834caa9d70e5ea2d78d9290890c6,10000,5.083219
16,0xa528c2462fa74eb1a2335424d69d721e4aed1367,8000,4.257633
17,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,7000,3.782382
18,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,7000,3.527711
19,0xd3d41f050554401bb70340690a25f9ced7531493,5000,3.727371
20,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,4000,5.936333
21,0x46f4149cea5556bd013d4f031d3e3b65573fc002,4000,2.140210
22,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,3000,1.832762
23,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,3000,1.718814
24,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,3000,1.419429
25,0xdc2b01bc65cc123ea030ebc0c03626476581ebd2,2272,1.179557
26,0x19ff35059452faa793dddf9894a1571c5d41003e,2000,1.041520
27,0xacdb45dcf58a8da1706468b5828dec484f37c5e3,1000,0.494502
28,0xe539b14a87d3db4a2945ac99b29a69de61531592,1000,0.441499
29,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,1000,0.427477
30,0xbce15e3e9799c9296c631b8fca65386d9554f49a,1000,0.386451
31,0x02ab4a243c229550f6babcfdb106f19b35124df6,1000,0.379899
32,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,1000,0.367845
33,0x29262772a1a99f180ac2e70093954cf4adf3cd85,1000,0.338070
34,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,1000,0.323924
35,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,1000,0.323493
36,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.316040
37,0x84994103403c715bace3bfb42f074f50e5432d55,1000,0.291840
38,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.291736
39,0xd4610403f0a93611ca76a5847743533268eff793,1000,0.278107
40,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.273345
41,0x18156ace9940645ebf3602e2b320a77131a70ad1,1000,0.268488
42,0x8772c46a7d10d7189d21eb635a9d271c83f66263,1000,0.268058
43,0x763adcf71cb195184088a26be01662119e303f5f,1000,0.264602
44,0x52fde427c2483ba0749140c0b43cfce73ba50d20,1000,0.263519
45,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.224506
