rank,pool,votes,expected_usd
1,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,251000,97.263601
2,0xe539b14a87d3db4a2945ac99b29a69de61531592,226000,86.199156
3,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,196000,72.301039
4,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,182000,88.919213
5,0x680581725840958141bb328666d8fc185ac4fa49,140000,50.825721
6,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,126000,47.191654
7,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,91000,34.304721
8,0xab5d32ff95b58bd5e77de08738a391973ee88c81,84000,29.884213
9,0x763adcf71cb195184088a26be01662119e303f5f,54000,27.353893
10,0xf19787f048b3401546aa7a979afa79d555c114dd,52000,24.278516
11,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,52000,21.366452
12,0xe62a34ae5e0b9fde3501aeb72dc9585bb3b72a7e,47000,25.993243
13,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,47000,24.100120
14,0xee58348059c9ad6ac345be79c399da0c200627ed,44000,20.097906
15,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,30000,16.042000
16,0x18156ace9940645ebf3602e2b320a77131a70ad1,25000,9.196904
17,0xef96ec76eeb36584fc4922e9fa268e0780170f33,18000,7.580378
18,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,17000,19.452488
19,0xcd280042f629fa2384179911f9cb1f932b9f26c8,17000,7.167088
20,0x46f4149cea5556bd013d4f031d3e3b65573fc002,12000,5.617565
21,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,12000,5.355520
22,0xc3f617c8a3da6d286c8f97af946a8f293632c852,12000,5.066320
23,0xd4610403f0a93611ca76a5847743533268eff793,8000,3.384982
24,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,6000,2.628135
25,0x8323ba10155388825fba72f4c81dd6642d7321ef,6000,2.538476
26,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,6000,2.501462
27,0x8772c46a7d10d7189d21eb635a9d271c83f66263,5000,2.112741
28,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,5000,2.095201
29,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,5000,2.080795
30,0xbeef086b8807dc5e5a1740c5e3a7c4c366ea6ab5,5000,1.900036
31,0x721bcd563603a559616dc9fb886a1732186995a4,4000,1.519003
32,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,3000,1.279381
33,0x29262772a1a99f180ac2e70093954cf4adf3cd85,3000,1.258204
34,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,3000,1.241334
35,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,3000,1.086711
36,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,2743,1.187292
37,0x1c419ac8fbaf8082eb7276fc2f243a74daf1c927,2000,1.470203
38,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,2000,0.907985
39,0xa90c37005828d20338c2f1d1ff60c20e13d89ef2,2000,0.811224
40,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,1000,0.458256
41,0x19ff35059452faa793dddf9894a1571c5d41003e,1000,0.451790
42,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.347343
43,0x66352585bad83da857a020f739f1f7ca93209a1b,1000,0.342265
44,0x8c8063a449eb9f020449fec4d9f0bca845188929,1000,0.341451
45,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.279453
46,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,1000,0.130100
47,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.075995
