rank,pool,votes,expected_usd
1,0x18156ace9940645ebf3602e2b320a77131a70ad1,735000,154.956669
2,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,563000,158.954420
3,0xcd280042f629fa2384179911f9cb1f932b9f26c8,62000,13.608213
4,0x5984bc5ca90388aac221147ca9da419a2a458a9f,61000,15.511042
5,0xf19787f048b3401546aa7a979afa79d555c114dd,55000,11.559500
6,0x8323ba10155388825fba72f4c81dd6642d7321ef,52000,11.599287
7,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,31000,7.962942
8,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,30000,6.115432
9,0xd4610403f0a93611ca76a5847743533268eff793,25000,5.195248
10,0x52fde427c2483ba0749140c0b43cfce73ba50d20,19000,4.038300
11,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,15000,4.660974
12,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,14000,2.918097
13,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,11000,2.537442
14,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,10000,2.649540
15,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,10000,2.077780
16,0xef96ec76eeb36584fc4922e9fa268e0780170f33,9908,2.044210
17,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,9000,1.795322
18,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,7000,1.764772
19,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,7000,1.635597
20,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,7000,1.549740
21,0xc3f617c8a3da6d286c8f97af946a8f293632c852,6000,1.249660
22,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,3000,0.637677
23,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,3000,0.626726
24,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,3000,0.626678
25,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,2000,0.477470
26,0x19ff35059452faa793dddf9894a1571c5d41003e,1000,2.530066
27,0x07e72e46c319a6d5aca28ad52f5c41a7821989ad,1000,2.467420
28,0x0c9be6df4e114d5cb04cbb934172be1fcc5526c6,1000,2.301312
29,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,1000,1.762851
30,0xacdb45dcf58a8da1706468b5828dec484f37c5e3,1000,1.309529
31,0xd6989c6fec14a38a8e2cd3e4cf6ce3a5ebcf35b6,1000,1.293123
32,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.184431
33,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,1000,0.178970
34,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,1000,0.177078
35,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,1000,0.172477
36,0x29262772a1a99f180ac2e70093954cf4adf3cd85,1000,0.164216
37,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.159377
38,0xab5d32ff95b58bd5e77de08738a391973ee88c81,1000,0.155950
39,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.155608
40,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,1000,0.147686
41,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,1000,0.136196
42,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,1000,0.129325
43,0x10e90f2e9d1aba759d151247416644331584e04d,1000,0.119565
44,0x034196aee7968d4c85b00b40c4e88ef706577cfa,1000,0.118643
45,0xa13e3f675794fcb15413ef0fb120db22d4b9ec27,1000,0.109300
46,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.098925
47,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.086668
48,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.084012
49,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.074548
50,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1000,0.074530
