rank,pool,votes,expected_usd
1,0xab5d32ff95b58bd5e77de08738a391973ee88c81,256000,65.871872
2,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,220000,55.726047
3,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,188000,48.592560
4,0x18156ace9940645ebf3602e2b320a77131a70ad1,179000,47.160757
5,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,103000,25.259056
6,0x5984bc5ca90388aac221147ca9da419a2a458a9f,80000,23.723994
7,0xd4610403f0a93611ca76a5847743533268eff793,74000,19.456866
8,0x29262772a1a99f180ac2e70093954cf4adf3cd85,58000,15.364209
9,0x1c419ac8fbaf8082eb7276fc2f243a74daf1c927,56000,14.401486
10,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,53000,18.798315
11,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,53000,14.911912
12,0x84994103403c715bace3bfb42f074f50e5432d55,48000,12.637676
13,0xcd280042f629fa2384179911f9cb1f932b9f26c8,46000,19.852463
14,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,38000,10.225419
15,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,37000,9.801368
16,0xc3f617c8a3da6d286c8f97af946a8f293632c852,27000,8.573374
17,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,23000,6.486414
18,0x02ab4a243c229550f6babcfdb106f19b35124df6,22908,7.537468
19,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,20000,5.472533
20,0xf19787f048b3401546aa7a979afa79d555c114dd,19000,4.725546
21,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,17000,4.505539
22,0xe62a34ae5e0b9fde3501aeb72dc9585bb3b72a7e,14000,5.008695
23,0x66352585bad83da857a020f739f1f7ca93209a1b,13000,3.733848
24,0x8323ba10155388825fba72f4c81dd6642d7321ef,12000,4.126477
25,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,11000,4.006795
26,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,10000,2.772605
27,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,9000,2.831676
28,0x9e7e8997db3d2e3ae84e237fd49a4d0c878604fa,8000,3.133397
29,0xa528c2462fa74eb1a2335424d69d721e4aed1367,8000,2.176646
30,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,7000,2.790617
31,0xbce15e3e9799c9296c631b8fca65386d9554f49a,7000,2.754040
32,0x8772c46a7d10d7189d21eb635a9d271c83f66263,7000,2.265385
33,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,7000,2.063333
34,0x19ff35059452faa793dddf9894a1571c5d41003e,7000,2.029488
35,0xacdb45dcf58a8da1706468b5828dec484f37c5e3,6000,1.686259
36,0x034196aee7968d4c85b00b40c4e88ef706577cfa,5000,1.561046
37,0xca260c4633a3834caa9d70e5ea2d78d9290890c6,4000,1.564946
38,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,4000,1.326454
39,0x3c3ad27a7f71959fc305af9170d0dbf2846aea06,3000,0.979116
40,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,3000,0.927201
41,0x434355f7eafcf3a5b8a6ef755505b845682f906b,3000,0.895288
42,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,1000,0.245807
43,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.238778
44,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,1000,0.235835
45,0x52fde427c2483ba0749140c0b43cfce73ba50d20,1000,0.224729
46,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.208951
47,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.198308
48,0xef96ec76eeb36584fc4922e9fa268e0780170f33,1000,0.113241
49,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.099403
50,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.097988
