rank,pool,votes,expected_usd
1,0x18156ace9940645ebf3602e2b320a77131a70ad1,550000,267.227824
2,0xcd280042f629fa2384179911f9cb1f932b9f26c8,188000,351.118746
3,0x8323ba10155388825fba72f4c81dd6642d7321ef,109000,40.388552
4,0x29262772a1a99f180ac2e70093954cf4adf3cd85,101000,42.625360
5,0x721bcd563603a559616dc9fb886a1732186995a4,94000,33.198058
6,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,92000,34.626912
7,0xab5d32ff95b58bd5e77de08738a391973ee88c81,90000,31.414436
8,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,86000,27.557267
9,0xf19787f048b3401546aa7a979afa79d555c114dd,71000,28.557098
10,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,53000,17.296739
11,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,33000,14.789966
12,0xef96ec76eeb36584fc4922e9fa268e0780170f33,30000,11.587093
13,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,30000,10.720382
14,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,25000,8.019122
15,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,24000,7.854676
16,0x5984bc5ca90388aac221147ca9da419a2a458a9f,21000,7.597219
17,0xc3f617c8a3da6d286c8f97af946a8f293632c852,19000,7.845011
18,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,18000,7.415450
19,0xbce15e3e9799c9296c631b8fca65386d9554f49a,13000,5.405749
20,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,12000,4.184028
21,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,10000,3.829969
22,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,9000,3.770942
23,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,7000,3.765275
24,0x07e72e46c319a6d5aca28ad52f5c41a7821989ad,7000,3.068460
25,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,7000,2.626490
26,0x680581725840958141bb328666d8fc185ac4fa49,7000,2.222615
27,0xd4610403f0a93611ca76a5847743533268eff793,6000,2.207499
28,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,5000,1.879506
29,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,5000,1.748647
30,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,5000,1.673274
31,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,4000,1.684090
32,0xa528c2462fa74eb1a2335424d69d721e4aed1367,4000,1.557562
33,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,4000,1.516302
34,0x1c419ac8fbaf8082eb7276fc2f243a74daf1c927,4000,1.508473
35,0xa13e3f675794fcb15413ef0fb120db22d4b9ec27,4000,1.447188
36,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,3908,1.421028
37,0x4964af09ae3cab10cbc16f78a20a3690a39507d9,3000,1.606548
38,0xe62a34ae5e0b9fde3501aeb72dc9585bb3b72a7e,3000,1.286265
39,0x02ab4a243c229550f6babcfdb106f19b35124df6,3000,1.122908
40,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,2000,0.760178
41,0x763adcf71cb195184088a26be01662119e303f5f,2000,0.743202
42,0xd6989c6fec14a38a8e2cd3e4cf6ce3a5ebcf35b6,2000,0.738569
43,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,2000,0.634997
44,0x52fde427c2483ba0749140c0b43cfce73ba50d20,1000,0.291978
45,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.269686
46,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,1000,0.268647
47,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,1000,0.249667
48,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.228611
49,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.179915
50,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.139707
