rank,pool,votes,expected_usd
1,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,612000,88.905927
2,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,502000,78.026141
3,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,116000,17.020551
4,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,104000,15.366701
5,0x721bcd563603a559616dc9fb886a1732186995a4,64000,10.234676
6,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,44000,7.427065
7,0xbeef086b8807dc5e5a1740c5e3a7c4c366ea6ab5,37000,6.981313
8,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,37000,5.348108
9,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,36000,6.114409
10,0xef96ec76eeb36584fc4922e9fa268e0780170f33,36000,6.103537
11,0xf19787f048b3401546aa7a979afa79d555c114dd,31000,5.376761
12,0xcd280042f629fa2384179911f9cb1f932b9f26c8,31000,5.362868
13,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,30000,4.990743
14,0xc3f617c8a3da6d286c8f97af946a8f293632c852,27000,5.337423
15,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,14000,2.427068
16,0xee58348059c9ad6ac345be79c399da0c200627ed,10000,1.717856
17,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,6000,1.026368
18,0x29262772a1a99f180ac2e70093954cf4adf3cd85,6000,1.016170
19,0xa8afd87084666453b102811aeefd5600d89b5532,5000,0.987647
20,0xd4610403f0a93611ca76a5847743533268eff793,5000,0.913431
21,0x7d4d7988152742e00d0b7245490bc4a06480e668,5000,0.843118
22,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,5000,0.839354
23,0x18156ace9940645ebf3602e2b320a77131a70ad1,4000,0.775073
24,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,4000,0.654182
25,0x8c8063a449eb9f020449fec4d9f0bca845188929,3000,0.610877
26,0x66352585bad83da857a020f739f1f7ca93209a1b,3000,0.516123
27,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,3000,0.515491
28,0xd604cf300a4ae4345426df42ffb296aa35b4bef2,3000,0.470490
29,0x52fde427c2483ba0749140c0b43cfce73ba50d20,2000,0.568629
30,0x46f4149cea5556bd013d4f031d3e3b65573fc002,2000,0.429346
31,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,2000,0.358120
32,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,2000,0.351250
33,0x8772c46a7d10d7189d21eb635a9d271c83f66263,2000,0.347737
34,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,2000,0.347143
35,0x50cbeffdd5671c8cdce323e0553f1990678100fc,2000,0.342319
36,0x19ff35059452faa793dddf9894a1571c5d41003e,2000,0.339769
37,0x4f0a58b2f561cd23e3059e76526125c85e281821,1428,0.464215
38,0x55a6b5812b590e777b1323791007bcf70cc96022,1000,33.670632
39,0x02ab4a243c229550f6babcfdb106f19b35124df6,1000,0.591694
40,0xa528c2462fa74eb1a2335424d69d721e4aed1367,1000,0.374323
41,0x6177a7fa0fb7d2620fe1743421768facabd6f905,1000,0.334407
42,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,1000,0.260330
43,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,1000,0.142080
44,0xab5d32ff95b58bd5e77de08738a391973ee88c81,1000,0.135417
45,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,1000,0.130989
46,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.129596
47,0xe539b14a87d3db4a2945ac99b29a69de61531592,1000,0.124937
48,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.113115
49,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.096226
50,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1000,0.025694
