rank,pool,votes,expected_usd
1,0x5984bc5ca90388aac221147ca9da419a2a458a9f,515000,270.016355
2,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,478000,141.044024
3,0x763adcf71cb195184088a26be01662119e303f5f,105000,30.696408
4,0xca260c4633a3834caa9d70e5ea2d78d9290890c6,102000,38.197766
5,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,85000,30.151464
6,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,69000,20.185121
7,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,59000,17.309897
8,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,52000,15.829575
9,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,34000,10.089187
10,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,34000,9.808941
11,0xe62a34ae5e0b9fde3501aeb72dc9585bb3b72a7e,32000,13.367004
12,0x29262772a1a99f180ac2e70093954cf4adf3cd85,28000,8.577700
13,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,27000,8.184238
14,0xf19787f048b3401546aa7a979afa79d555c114dd,19000,5.544269
15,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,14000,4.027357
16,0xcd280042f629fa2384179911f9cb1f932b9f26c8,13000,4.455612
17,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,13000,3.959119
18,0xd4610403f0a93611ca76a5847743533268eff793,12000,3.836551
19,0xc3f617c8a3da6d286c8f97af946a8f293632c852,9000,3.286206
20,0xd6989c6fec14a38a8e2cd3e4cf6ce3a5ebcf35b6,8000,3.010889
21,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,8000,2.524488
22,0xb55fab1b4f8a2f52cca0c21ca3c4c20060454086,7000,2.361073
23,0xa13e3f675794fcb15413ef0fb120db22d4b9ec27,7000,2.208108
24,0xbce15e3e9799c9296c631b8fca65386d9554f49a,4000,1.334280
25,0x3226a68da690d70ae812a25ca7c4c02d07941b81,4000,1.267759
26,0xa528c2462fa74eb1a2335424d69d721e4aed1367,3000,0.998440
27,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,3000,0.982560
28,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,3000,0.947948
29,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,3000,0.844788
30,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,2908,0.945513
31,0x9e7e8997db3d2e3ae84e237fd49a4d0c878604fa,2000,0.693302
32,0xacdb45dcf58a8da1706468b5828dec484f37c5e3,2000,0.625075
33,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,2000,0.609439
34,0x15951b35d7a8ea6b6ef5718eab2fcdd3ad072451,1000,0.276361
35,0x52fde427c2483ba0749140c0b43cfce73ba50d20,1000,0.251377
36,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,1000,0.244111
37,0x02ab4a243c229550f6babcfdb106f19b35124df6,1000,0.219549
38,0xbfdee8d6c37e3173ef808f884f99c0ba35892aa7,1000,0.210676
39,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.196413
40,0x50cbeffdd5671c8cdce323e0553f1990678100fc,1000,0.178575
41,0x8c8063a449eb9f020449fec4d9f0bca845188929,1000,0.166259
42,0x8772c46a7d10d7189d21eb635a9d271c83f66263,1000,0.163973
43,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.157023
44,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.150037
45,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,1000,0.141254
46,0x84994103403c715bace3bfb42f074f50e5432d55,1000,0.138968
47,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.136600
48,0x680581725840958141bb328666d8fc185ac4fa49,1000,0.111546
49,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.108484
