rank,pool,votes,expected_usd
1,0x6fae4c404be7bdd12492385498f8c6e5177e4532,357000,330.145491
2,0xe86c314240698b850e07d1aa330ca8b89d5c15a9,210000,189.188147
3,0x53ab4c60ff04b782f630a8685af95404f099aafd,158000,144.158531
4,0x467a8846e7b54eac5d4d1cb2fdc9b8752212ff0e,130000,118.695650
5,0x02107bab40bba06ae979a15f67b5ad3853c5e116,116000,102.609589
6,0xd2c9f1b70e12a7bdf104e7ac2096a62d337bbafa,107000,94.531587
7,0xc3f617c8a3da6d286c8f97af946a8f293632c852,99000,94.142171
8,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,70000,62.359216
9,0xc0410fadad2da7ba04d029e94a0e3df228ec7d28,60000,54.808702
10,0x66352585bad83da857a020f739f1f7ca93209a1b,58000,52.998069
11,0x519ad6af575388f48fc9f4ee876b70fa55f5d4ec,51000,45.082575
12,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,44743,40.302824
13,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,44000,39.645378
14,0x603258c5072a01609c4c7269031232695d14f21b,43000,38.646544
15,0x5d8a9bf50e2270c0c051ef4a79a6aa376a611e72,39000,34.955697
16,0x37077d100b369ab48c9e6b7b21c15eee4fdf9923,33000,28.944271
17,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,32000,28.028435
18,0xf19787f048b3401546aa7a979afa79d555c114dd,28000,24.827862
19,0x415233bf9b9156d4f777d580e67c0a4e398a84c3,28000,24.533505
20,0x8323ba10155388825fba72f4c81dd6642d7321ef,25000,22.108394
21,0x9849e92f29a9d3b89fe09694746e7acf52bbc37d,24000,21.185867
22,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,17000,14.922543
23,0xcd280042f629fa2384179911f9cb1f932b9f26c8,11000,9.612513
24,0x501477b202e2863f4378f90a55df64a57be3999b,11000,9.567588
25,0xe70c5d2c76fe261ba6b0cc1f80ec0628b85e891d,10000,8.734912
26,0xe539b14a87d3db4a2945ac99b29a69de61531592,3000,2.605875
27,0xb1383dc47d9971fc999c3a9088f79e744b376e97,1000,0.863772
28,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.857564
29,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,1000,0.857532
30,0xce4838e3287d66ce20fa296704f2b77de9d2a92d,1000,0.851720
31,0x18c772b1e324256d4eae3d444aed7e856a6d86e2,1000,0.849323
