rank,pool,votes,expected_usd
1,0x680581725840958141bb328666d8fc185ac4fa49,770908,348.680683
2,0x52fde427c2483ba0749140c0b43cfce73ba50d20,466000,259.733024
3,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,242000,422.782959
4,0xcd280042f629fa2384179911f9cb1f932b9f26c8,40000,22.216131
5,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,37000,16.908593
6,0x721bcd563603a559616dc9fb886a1732186995a4,27000,9.492693
7,0xc3f617c8a3da6d286c8f97af946a8f293632c852,25000,12.480224
8,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,23000,8.269327
9,0x8323ba10155388825fba72f4c81dd6642d7321ef,19000,7.235392
10,0x02ab4a243c229550f6babcfdb106f19b35124df6,14000,6.065533
11,0xe62a34ae5e0b9fde3501aeb72dc9585bb3b72a7e,13000,5.254717
12,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,13000,4.641333
13,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,12000,4.475991
14,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,9000,3.144855
15,0x4c1aeda9b43efcf1da1d1755b18802aabe90f61e,7000,2.390342
16,0x18156ace9940645ebf3602e2b320a77131a70ad1,7000,2.323348
17,0xd6989c6fec14a38a8e2cd3e4cf6ce3a5ebcf35b6,4000,1.599914
18,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,4000,1.338081
19,0x19ff35059452faa793dddf9894a1571c5d41003e,3000,1.102481
20,0x3226a68da690d70ae812a25ca7c4c02d07941b81,3000,1.087725
21,0x1c419ac8fbaf8082eb7276fc2f243a74daf1c927,3000,1.002869
22,0xacdb45dcf58a8da1706468b5828dec484f37c5e3,2000,0.739663
23,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,2000,0.722624
24,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,2000,0.720401
25,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,2000,0.683731
26,0xc142affc7191aa77ef644a790da10a9aa8b01f7e,2000,0.680063
27,0xdc2b01bc65cc123ea030ebc0c03626476581ebd2,1000,4.754303
28,0xa90c37005828d20338c2f1d1ff60c20e13d89ef2,1000,4.694602
29,0x15951b35d7a8ea6b6ef5718eab2fcdd3ad072451,1000,3.296334
30,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,1000,3.273917
31,0xbce15e3e9799c9296c631b8fca65386d9554f49a,1000,0.344884
32,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,1000,0.344039
33,0x5fd254cd52235b9c04e53b48d77b52366bfb7c03,1000,0.339575
34,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,1000,0.330510
35,0xab5d32ff95b58bd5e77de08738a391973ee88c81,1000,0.317931
36,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,1000,0.303812
37,0x5984bc5ca90388aac221147ca9da419a2a458a9f,1000,0.281312
38,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,1000,0.278899
39,0xf19787f048b3401546aa7a979afa79d555c114dd,1000,0.264377
40,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,1000,0.251620
41,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.247727
42,0x29262772a1a99f180ac2e70093954cf4adf3cd85,1000,0.244879
43,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,1000,0.243349
44,0xbeefe94c8ad530842bfe7d8b397938ffc1cb83b2,1000,0.237458
45,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.227778
46,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,1000,0.212345
47,0x84994103403c715bace3bfb42f074f50e5432d55,1000,0.172905
48,0xee58348059c9ad6ac345be79c399da0c200627ed,1000,0.147726
49,0xd4610403f0a93611ca76a5847743533268eff793,1000,0.138096
